movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
710871,False,2,87876,Directing,Paween Purijitpanya,Paween Purijitpanya,0.98,/5WA0VxD3mtdyuMl7ixyPwlWcRKy.jpg,5ed3a1b5aaec71001f6dfdee,Directing,Director
810223,False,2,221723,Directing,Bradley Walsh,Bradley Walsh,3.902,,608ad8a120af770029243f2e,Directing,Director
286567,False,2,130837,Directing,Stewart Hendler,Stewart Hendler,1.106,,53eb383c0e0a265f42000e7f,Directing,Director
75948,False,2,67259,Directing,Tony Ching Siu-Tung,Tony Ching Siu-Tung,4.836,/iqw8vUPyZ5TMbk9G2XPYHTTyxZN.jpg,52fe491fc3a368484e11b2f3,Directing,Director
49047,False,2,11218,Directing,Alfonso Cuarón,Alfonso Cuarón,5.832,/eoCHiXaQzGgx9RiwXnt3k239FLc.jpg,52fe4783c3a36847f8139d67,Directing,Director
997317,False,2,1640656,Directing,Mamoru Hatakeyama,Mamoru Hatakeyama,0.692,,635ea51f87e63e007a148638,Directing,Director
1044353,False,0,3770605,Directing,Iván Andrés Simonovis Pertíñez,Iván Andrés Simonovis Pertíñez,0.6,,6365528831d09b008252e116,Directing,Director
549649,False,2,2478207,Directing,Director Baek,Director Baek,0.6,,5ded69f1158c8500138287c4,Directing,Director
805051,False,0,2191393,Directing,Jens Møller,Jens Møller,0.6,,6067974544ea54006d401bd4,Directing,Director
666243,False,2,3158694,Directing,Han Kwang-il,Han Kwang-il,1.143,/l3f1BqAUEpXSP7IOknLQcUrFR1y.jpg,60f0268c97fdec0045c98be6,Directing,Director
372049,False,2,1979671,Directing,Tak Seung-oh,Tak Seung-oh,1.4,,5e6e31c2cabfe4001514dd28,Directing,Director
216919,False,2,61060,Directing,Antonio Zavala Kugler,Antonio Zavala Kugler,1.4,,5a7dfb4ec3a36817bf003ed7,Directing,Director
413518,False,2,63973,Directing,Matteo Garrone,Matteo Garrone,2.248,/53E2h8w7IlvcTvS23DOjgWIUWDP.jpg,57c6925d92514138d20041e5,Directing,Director
586954,False,1,1206119,Directing,Nina Wels,Nina Wels,0.605,,5c82de190e0a264314612f54,Directing,Director
586954,False,1,3306992,Directing,Mimi Maynard,Mimi Maynard,0.6,,618eca591c635b008f2c2d86,Directing,Director
621876,False,1,1457228,Directing,Lena Khan,Lena Khan,0.98,/sQMpcGK9k0dwooB6RS14QgwXqtm.jpg,5d4cf7553c887d001184c11f,Directing,Director
1108335,False,0,2903418,Directing,Alberto Martín Menacho,Alberto Martín Menacho,0.6,,642aef829cc67b06055ca7b7,Directing,Director
286687,False,0,1352934,Directing,Ko Kyeong-Ah,Ko Kyeong-Ah,0.6,,53ec3ace0e0a2605e3000b0f,Directing,Director
1056177,False,2,145475,Directing,Hakan Algül,Hakan Algül,1.4,,6389d04d1b722c008ed3c542,Directing,Director
76640,False,2,69081,Directing,Kim Jee-woon,Kim Jee-woon,3.941,/5HYk7X2ygmOEWBAjBgxIEz4aT8t.jpg,5a7c6e229251414b0f01046b,Directing,Director
